,category,value
0,A,431.37198125526544
1,A,406.8154205515441
2,A,185.03240955085985
3,A,98.93994324453858
4,B,505.69542208684794
5,C,236.64990978242972
6,D,120.16865417084244
7,B,341.58074811719575
8,D,643.447377142688
9,A,446.590830822429
10,A,187.37197155522756
11,C,854.6482172187872
12,A,684.5974423671079
13,D,297.01019113461626
14,B,356.4456694923123
15,C,986.7359676720748
16,D,242.4955732329983
17,D,451.5261995462533
18,A,584.3349834381527
19,D,24.09160505186836
20,A,971.5009771157019
21,A,650.1535913301889
22,D,792.7962401785215
23,A,387.43390435678083
24,B,496.84997376737437
25,A,208.65957103842604
26,B,531.1835784191663
27,A,201.49588644300377
28,B,258.47422102489406
29,A,700.7493562442296
30,D,890.8539634257859
31,B,182.35316713067806
32,A,681.5466011348241
33,C,557.530150333764
34,A,776.1488377415335
35,C,915.4213495673428
36,B,808.8543103413099
37,A,804.7886224885887
38,A,62.14637248012367
39,C,497.9667330512115
40,A,8.715708717318972
41,D,576.3413344221366
42,B,658.7668847483047
43,B,273.7574892692302
44,D,210.82801886937742
45,A,745.0565357190899
46,C,416.0340585954049
47,C,477.4046172039733
48,C,302.6692294881658
49,D,404.1146052848681
50,D,713.8225676847727
51,A,381.90702271830224
52,D,101.67607964455615
53,A,328.8795750940152
54,B,686.8905238098025
55,B,763.759224205427
56,D,795.4036595272584
57,D,558.0311567340409
58,A,107.85948920969113
59,A,928.1939955676229
60,B,570.7061332796666
61,B,520.3559069562675
62,D,488.7010582996344
63,A,355.31062757292295
64,D,533.4024848099086
65,D,954.1673807542364
66,A,49.028392110718634
67,D,721.5389064642982
68,C,149.7355929934878
69,A,544.8504175243728
70,A,855.7900898447805
71,A,719.7796055944373
72,C,843.1191507122738
73,B,727.0280676430771
74,C,218.58562530159853
75,B,606.3230625106623
76,C,883.6157599226804
77,B,346.6047656665631
78,C,96.45043413788068
79,B,96.23858982685174
80,A,983.3063699482797
81,A,343.2068520017323
82,B,70.84021428896892
83,C,491.4627092041739
84,B,105.19315149872843
85,C,696.1937840003807
86,B,845.456025608719
87,C,661.3028273170194
88,D,23.628668666121122
89,C,200.24440965902247
90,D,30.907214126371652
91,D,689.247154880693
92,C,800.8324094769418
93,C,568.4786696127768
94,B,88.29447680047141
95,D,545.7296695369173
96,C,773.696571101122
97,B,877.4274798011926
98,C,500.91019757485856
99,A,911.0761129452721
