,category,value
0,C,515.0970331422831
1,D,75.43052054976052
2,D,983.6533730124002
3,B,841.263478509343
4,A,287.58165678589575
5,C,735.3451396337906
6,C,667.7981038562532
7,D,951.0596016693133
8,C,837.031243813933
9,B,479.4683823899231
10,A,546.7921248326276
11,D,657.6575179645604
12,B,158.48245746119062
13,B,135.20728182184072
14,C,839.27868965941
15,D,823.0098997534985
16,D,453.3168013621448
17,C,878.3213662609089
18,D,75.28606835531859
19,D,329.42022206466413
20,A,435.78411413205833
21,A,202.04504014981407
22,D,961.8499222699201
23,C,783.5941920468023
24,C,505.0796818436285
25,D,123.45747504186389
26,D,283.19194389963366
27,B,248.84598747787223
28,D,467.73935183239803
29,B,171.73619714909483
30,D,61.21932492028903
31,B,984.3467791102383
32,C,965.8871058813236
33,B,922.1361589941675
34,B,939.6598449361228
35,D,802.0940439260289
36,B,654.5743199162719
37,B,378.26102958813226
38,A,492.73542560415206
39,B,881.3972351596021
40,B,838.724588168246
41,C,458.80069731465034
42,A,638.2623617412942
43,B,443.7466806650573
44,B,794.1835531380539
45,A,425.46629589729145
46,D,835.748109619452
47,B,776.2315165150798
48,A,221.7549042157443
49,C,961.1405080497028
50,D,356.7445574778958
51,C,525.4591914839249
52,D,956.9629679740498
53,A,899.2746119746915
54,C,913.2675681104981
55,C,407.4724872987989
56,D,563.2791763691732
57,D,144.42223772996687
58,A,26.243456424244414
59,C,441.5481628234589
60,C,77.5916106775495
61,D,845.5438715629945
62,D,901.899082068788
63,A,338.2518646164807
64,A,230.9837743679394
65,A,832.288069732216
66,A,602.0880858392128
67,B,239.6072602113871
68,D,184.06096169743003
69,D,402.6658414187453
70,C,155.8586463486268
71,D,31.707160980239735
72,A,567.4910077594323
73,C,916.1663680856461
74,D,678.3097920050293
75,D,887.6155840684729
76,A,801.1413982797193
77,C,22.55942389784249
78,D,534.9551203948982
79,C,685.889551784259
80,C,999.3364928715331
81,A,600.1584169745021
82,B,139.34620351573457
83,A,952.3982865689504
84,C,281.0435641101343
85,C,197.81994001944992
86,B,808.5511075453536
87,A,728.6974747180658
88,A,391.92006316540153
89,A,852.1244178979852
90,B,323.91675496938353
91,D,218.17783706422588
92,B,679.8025941161122
93,D,609.3893588870677
94,B,432.9852630259453
95,C,735.966470672257
96,C,629.9136881581122
97,D,806.9552630374827
98,C,854.4430706361832
99,C,640.9142837492632
