,category,value
0,D,560.5067876586788
1,C,934.2664889598792
2,D,967.9990965217851
3,B,655.8428148218227
4,B,505.85151718963493
5,B,111.6153340962931
6,A,319.83724431891125
7,B,604.144676307074
8,D,243.3092145987835
9,B,318.2184628011018
10,A,125.19222378153128
11,C,225.91268490128735
12,A,363.03336963515096
13,C,709.8476397887489
14,B,568.332759501615
15,A,473.7170486687945
16,C,160.1434653953775
17,C,204.91857018603378
18,D,763.5137347074298
19,A,157.93000944248402
20,C,714.9590280668363
21,B,819.3227252816257
22,C,802.455944719595
23,B,47.38747550567146
24,C,1.0933118453971824
25,D,809.0933241711235
26,C,991.8470579659424
27,A,999.6091330513298
28,B,853.7248963542828
29,D,57.228209354519336
30,D,32.34692640030734
31,D,114.07943159867851
32,C,745.7596965082703
33,C,169.03329525300958
34,C,460.58817545904407
35,B,378.0455492859399
36,B,804.5804883996675
37,D,553.6758030349239
38,A,398.8792668079264
39,A,207.5006909948297
40,B,367.5860402886136
41,C,985.3112091087088
42,B,422.05751233246605
43,D,77.81484718064502
44,B,575.1881278238884
45,C,549.630223964793
46,A,59.66775687862247
47,A,21.689034729199808
48,A,75.02032115587032
49,C,190.88060257762584
50,B,117.01526697366837
51,C,684.9806442941505
52,B,912.118553585242
53,B,75.1321702157064
54,A,463.5629681044634
55,D,309.8321046899669
56,D,398.0187663768908
57,A,901.3047005221274
58,D,641.0810723186671
59,A,401.01655947710566
60,D,664.7670404426419
61,D,342.70560668114115
62,B,763.3704325800967
63,B,419.76525641239317
64,A,37.84343440205695
65,A,410.7299939418743
66,A,972.5810785404079
67,C,264.18959029454226
68,C,388.16678349446033
69,A,269.3341043084686
70,C,157.82171552308122
71,D,655.324446239375
72,C,800.3831651037796
73,B,749.5679222310791
74,A,279.0399202775393
75,C,37.8316655803681
76,B,73.96967865187287
77,D,343.62231602386305
78,A,72.72049503235667
79,C,455.03714792756136
80,B,269.6739373199981
81,B,11.98609291300723
82,D,106.57104990228294
83,B,602.3158665768693
84,C,796.8674230996531
85,D,487.72479794538293
86,D,753.1480350595333
87,D,146.8509314819354
88,C,339.94495521067324
89,D,320.3769467179336
90,D,973.3596707427234
91,B,455.7459757366627
92,A,480.6793276207995
93,A,542.5705044133205
94,C,47.21927159021377
95,D,300.31508302308475
96,A,457.9051704572167
97,A,982.9786034837173
98,D,308.738214029104
99,C,923.1985265664974
